months,flights
1,278475.0
2,324754.0
3,337358.0
4,380888.0
5,710996.0
6,1365493.0
7,1359898.0
8,1287333.0
9,660670.0
10,969950.0
11,724164.0
12,761511.0
1,113424.0
2,124260.0
3,153977.0
4,167808.0
5,276668.0
6,520820.0
7,510558.0
8,508719.0
9,282434.0
10,427535.0
11,348217.0
12,330707.0
1,24319.0
2,56977.0
3,15299.0
4,18826.0
5,59196.0
6,90226.0
7,83870.0
8,104019.0
9,28414.0
10,24337.0
11,8190.0
12,12236.0
1,77660.0
2,67415.0
3,69907.0
4,76799.0
5,133169.0
6,204392.0
7,184884.0
8,190978.0
9,97654.0
10,135218.0
11,63225.0
12,102342.0
1,1096.0
2,1221.0
3,1678.0
4,3631.0
5,2390.0
6,4539.0
7,4329.0
8,3647.0
9,2629.0
10,3274.0
11,3157.0
12,3453.0
1,61976.0
2,74881.0
3,96497.0
4,113824.0
5,239573.0
6,545516.0
7,576257.0
8,479970.0
9,249539.0
10,379586.0
11,301375.0
12,312773.0
